Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Egypt,191873256,196126470,227142780,260613976,284845888,243811560,244053931,281380057,310146165,330808637,324503412,360923390,358159750,360000561,415000975,427722750,459504475,490461300,500000404,554000325,584999912,631898920.8,609999759.6,593999196.84,640300716,795500465,786500865,794498906,754115436,745147200,774998961,741510385.56,845290860,714970452,959328713,989565760.26,900361462.56,995748717.6,963728685,1047653649,1070426502,1039005952,1547236012,1331914012,1413783423,996843016,1062104062,1500164512,1157408994,1362260377,1297643300,1214782800,1292870077,NaN,NaN
El Salvador,12063994.9,16527115.08,29413411.84,30775466.8,21608087.82,34904960,29263248,34000211.37,34999982.5,45000202.11,62999748,64999770,68000065.96,62499984,64999854,77106120,77117874,84192020,50600290,47648800,66521280,44208687,59376271,39831165,61151127.84,49119940.44,64471593.76,67808156.22,56154909.44,52717405.26,55403136,53669166,52719769,45999706.96,41886577.44,60000381.44,72100128,56999965.14,56808106.28,48452863.78,48274344.24,34509913.1,36496212.62,46957165.92,68253093.2,52360317.36,64919650.8,74283022.64,65253205.44,73673689.65,82652502.48,73679042,67299141,NaN,NaN
Fiji,1486089.57,3400888.8,4155992.55,6457279.2,5000061.25,4250009,4236257.88,4880965.5,4849224.64,4886719.02,6198990.16,7480129.5,6798246.36,9151681.32,7199983.12,9000270.13,9899419.25,9000142.5,12099426.43,10799871.03,12799525.2,10299690.79,7499979.63,10100124.31,7799953.5,11299927.14,10600259,10100059.74,13200192.72,12000223.92,10000234.68,8500326.4,9000318.92,9000190.26,10000308.37,10000151.2,10200075.15,8899855,6399790.4,2500035.44,4999884.58,9376998.28,3177956.88,7659151.5,6592874.82,4220001.24,4025037.75,6758161.62,2746921.1,2434938.03,3532910.16,3948162.4,3670112.8,NaN,NaN
Finland,59104636.92,61570364.18,76474032.84,90750845.79,101766487.4,99282938.18,102568262.4,109731504.12,150677576.2,158364002.61,168996420.35,165085212.55,188679580.44,205156176,179184286.2,143786955.69,148852135.08,160773215,170728954.4,169758433.5,156962084.37,183159362.73,172214872.2,163318854.6,166993331.2,173874089.68,174243814.82,169810263,184394986.82,163054930.5,127501216.95,128934813.69,122607399.5,126636508.08,122257926.17,111881378.7,109563427.68,103949420.44,100320633.63,96860360.07,97351032.75,107399562,99966174.2,107805608.7,121268263.5,101300096.61,117893782.87,143251288.14,110600730.5,135018436.96,88895669.76,88407203.31,94319596.7,NaN,NaN
France,624702004.01,681460893.84,787506492.75,855333143.34,863632365.9,980112311.5,1119474999.86,1225720870.92,1221480424.56,1427287193.28,1494336273.2,1553110207.88,1789089285.33,1514379530.7,1659976304.56,1758731529.2,1771246821.19,1908775913.94,2055815723.7,2062787199.58,2103085069.8,2101566862.52,2215601985.04,2227167318.42,2290013571.7,2437413682.29,2421566364.24,2461716104.25,2508386621.44,2344968097.36,2358346942.8,1925670040.14,1935358821.69,1955133594,1970754061,2019119057.1,1952674722.4,1873536696.32,1877118898.2,1707112353.84,1783370262.69,1654601967.3,1802930959.52,1780189524.69,1704463848.55,1719646115.85,1873567149.28,1637218578,1482642438.6,1593536283.68,1516671718.63,1493629120.14,1563594708.48,NaN,NaN
Gabon,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46973.14,21027,29987.33,300046.8,377037.05,99928.8,99940.72,92014.26,100078.38,796068,200064.12,600037.68,500043.96,500083.29,1094085.14,812926.14,329904.42,399996,135920.73,200076.94,99919.76,100079.95,99960.99,99924,99964.53,100041.26,99979.32,99936.2,99947.19,100033.38,552972.09,189969.24,680047.23,580089.76,798982.08,889980,819966.79,883072.81,593118.26,380940.87,1250025.48,1254887.06,NaN,NaN
Gambia,NaN,NaN,NaN,8001,14976,54051,50042,34060,94031,151956,300030,365934,301938,400026,164976,200066,493986,1049981,1466976,639990.75,318934.84,757913.04,1100022.72,999940,2999993,3000088,800037,310080,658998,200064,300093,200066,200030,199985,344090,205012.8,300051.36,2300118.4,1000090,600046.65,599935,NaN,1739110,1200150,1671120,1672078,1519980,835055,1364816,1784965,2627901.72,1064817.11,74088.91,NaN,NaN
Germany,877000408.56,1019622815.68,1013769139.9,1087069052.8,1232254748.9,1251287827.2,1257991980.22,1335115988.1,1436785024.45,1484382322.68,1525094180.52,1628983351.27,1540770422.7,1612002621.2,1620219734.55,1745478805.56,1737177655.16,1748930450.7,1797869362.68,1835180720.91,1629221135.2,1685078978.07,1584894348.1,1620151565.94,1698273846,1676550960,1714986630,1715643300,1579356860,1233231588,1198835552,1181044500,1144670922,1281591427,1279708283,1283344192,1318037400,1413940209,1510504164,1402253200,1374625392,1387357074,1432973871,1410303400,1429778688,1295830432,1463816025,1256001696,1270925670,1447050165,1328733000,1335545354,1356992196,NaN,NaN
Ghana,175671.72,713616.67,801579.9,153875.18,199482.24,299160.75,511630.56,432635.08,370253.44,1376100,1105500,2587200,2946900,3781800,10999000,11998600,10099306.14,10599785.95,8399420.22,5000835.82,13001425,12500800.55,10999273.95,5000342.19,4999635.52,4099946.76,5139880.3,7048231.47,5782831.6,7998616.9,6999349.44,7000519.2,5201591.74,2698626.42,3201245.52,7198298.8,8705466,7273071.81,8002182.86,7046966.01,14167712.13,4332942.4,8557979,5703115.75,11103959.1,30171531.48,25924129.5,18376832.25,21160544,24837176.85,10734916.8,42319602.63,45342631.74,NaN,NaN
Greece,83346998.54,96665983.26,115932622.14,131058612.65,133928666.52,145102143.89,156792019.16,182121670.31,190108344.44,200639448.16,205699579.54,212464215.72,244292452.56,251500560.93,275080369.26,291309565.56,294000997.84,341200709.52,356099772.96,333298678.52,373290538.5,383801157.1,417998978.56,426599520.9,458299093.7,431598568.8,388801366.71,415601293.14,404200715.22,427498801.48,407993019.2,392213302.8,327016045.34,344617812,313108540.29,337620304.56,304542021.7,289371563.81,288089642.33,282436973.71,258910201.95,270087607.27,282714165.8,223701266.8,202829188.32,171931575.45,136018046.52,174336092.42,113702484.56,176425213.95,268125649,181308168.36,247471273.14,NaN,NaN
Guatemala,9035151.84,8900081.04,11436101.32,9050571.63,7301168.7,19501986.58,13592012.28,23702006.01,19395708.37,28977174.05,13238666.72,23571229.5,31999996.25,36899654.82,35099654.31,49925590.99,52000729.42,52000244.55,58199955.2,51900581.01,46999734.32,58699979.52,41699913.08,55499518.88,59999987.52,79999437.05,83800644.21,61600208.94,83400145.03,79999412.4,98200799.31,99999956.5,106999098.24,112000823.8,114999712.8,110000574.54,118444876.48,101000264.28,123999977.28,124499890.8,114995608.29,84156663.79,118071075,140350154.31,131425815.6,145722238.36,133080997.59,88314550.98,120543413.4,142138169.6,180501318.36,178126583.04,176434119,NaN,NaN
Guinea,500025.39,499489.81,499587.2,799588.72,499608,999743.1,1000001.3,1000190.34,1000599.6,1499932.49,1599721.38,1699929,799980.6,650618.65,600222.9,599609.02,200280.36,200621.05,1099365.56,41807.7,446299.44,617475.32,NaN,87555.06,171840.48,279924.42,300580,261424.8,391180.8,730939.68,1366190.28,265368.48,1058861.79,2299376.19,2816158.91,2448227.68,680238.32,1119944.16,1001104.32,1000107.92,999137.86,1793176.46,1663671.66,1674126,1970095.5,1976663.34,3178399.59,2796156.03,1258754.6,2527200,5097600,4092200,2492800,NaN,NaN
