"","year","Australia","Austria","Brazil","Canada","Switzerland","Chile","Germany","Finland","France","United Kingdom of Great Britain and Northern Ireland","Ireland","Japan","Luxembourg","Morocco","Netherlands","New Zealand","Poland","Slovenia","Uruguay","United States of America","South Africa"
"826",2006,0.920079185825819,0.900424702236059,0.940086385151442,0.896,0.71,0.795941,0.807652617956982,0.639998,0.86261874927233,0.732138266992079,0.425907820492041,0.79,0.437130469027073,0.89,0.523642782856942,0.08,0.851028318172884,0.663827283811991,0.88,0.73592,0.921
"827",2007,0.918520862419343,0.902558233852632,0.940086385151442,0.906,0.71,0.799932,0.809346605882135,0.64,0.875732793311916,0.730086293656039,0.193246067431346,0.79,0.432191343052586,0.904,0.47155037696142,0.08,0.84874271513086,0.64898547180562,0.88,0.759817,0.919
"828",2008,0.917052269681207,0.90432130321229,0.940086385151442,0.906,0.71,0.799939,0.817099324151053,0.64,0.892531866929208,0.824855727871877,0.189755642964717,0.79,0.443624040503352,0.904,0.476226810491657,0.08,0.853832014164461,0.598944291361704,0.88,0.751637,0.919
"829",2009,0.915664942889023,0.904969291857773,0.940086385151442,0.906,0.71,0.79994,0.819663328214222,0.639999,0.895501295705909,0.720708078016163,0.168035914772347,0.79,0.442055432431628,0.904,0.472765246508463,0.08,0.854093851470918,0.592985116966214,0.88,0.746385,0.919
"830",2010,0.914353371032988,0.903515093713016,0.940086385151442,0.906,0.71,0.799947,0.820863972053463,0.639998,0.901314946333984,0.783844364423667,0.170263972661992,0.79,0.4432827474047,0.904,0.469922512099857,0.08,0.838445585882666,0.584623083036234,0.88,0.749774,0.919
"831",2011,0.9131120431033,0.904194032496434,0.940086385151442,0.906,0.71,0.799959,0.821699074160041,0.639998,0.902411799177096,0.805504439791686,0.194658915872159,0.79,0.444460468042901,0.904,0.466488730942033,0.08,0.839413440877057,0.58652226364108,0.88,0.746248,0.919
"832",2012,0.911935448090157,0.904955222615663,0.940086385151442,0.906,0.71,0.799959,0.822553766275829,0.636481,0.906207200863628,0.84299171893488,0.208786819262191,0.79,0.445804355162608,0.904,0.473879259466157,0.08,0.841722790338481,0.597276071709398,0.88,0.756256,0.919
"833",2013,0.910818074983757,0.9060112767684,0.940086385151442,0.906,0.71,0.799959,0.823598511514992,0.682802,0.919037856347526,0.718141652614902,0.186446939953072,0.79,0.44727618465702,0.904,0.487755695500268,0.08,0.839535162466664,0.602399202283981,0.88,0.752621,0.919
"834",2014,0.910818074983757,0.906378292815059,0.940086385151442,0.906,0.71,0.799959,0.822567242906521,0.682802,0.930405536090385,0.802905975448775,0.197652260849846,0.79,0.448195615548428,0.904,0.494986823333186,0.08,0.845789343968829,0.597439808269,0.88,0.749926,0.919
"835",2015,0.910818074983757,0.904287377709735,0.940086385151442,0.906,0.71,0.799959,0.819656778344079,0.682802,0.932065157154644,0.78428469574646,0.206972944284599,0.79,0.446916644582027,0.904,0.491005605129156,0.08,0.849487665553908,0.586439581234578,0.88,0.754295,0.919
"836",2016,0.910818074983757,0.90652565229827,0.940086385151442,0.906,0.71,0.799959,0.818567610331333,0.682802,0.931088497706935,0.757649263929386,0.204652725164139,0.79,0.442738468706576,0.904,0.491374467487255,0.08,0.842684833113613,0.591222793761371,0.88,0.754295,0.919
"837",2017,0.910818074983757,0.906128770068737,0.940086385151442,0.906,0.71,0.799959,0.817450967775728,0.682802,0.931928298541981,0.759135211324203,0.199971188501919,0.79,0.442115182394142,0.904,0.495894288322453,0.08,0.84673113962861,0.596183470281176,0.88,0.754295,0.919
"838",2018,0.910818074983757,0.905585566993644,0.940086385151442,0.906,0.71,0.799959,0.815724842838781,0.682802,0.928040133776445,0.756242679980524,0.192810394924188,0.79,0.442094931598641,0.904,0.482790943199821,0.08,0.847053366669408,0.597498512375419,0.88,0.754295,0.919
"839",2019,0.910818074983757,0.90558111097889,0.940086385151442,0.906,0.71,0.799959,0.815470536327414,0.682802,0.928044041248945,0.803800074212613,0.190402995512877,0.79,0.441858428506112,0.904,0.47904481974191,0.08,0.847666272764583,0.595939786540659,0.88,0.754295,0.919
"840",2020,0.910818074983757,0.90558111097889,0.940086385151442,0.906,0.71,0.799959,0.815470536327414,0.682802,0.928044041248945,0.803800074212613,0.190402995512877,0.79,0.441858428506112,0.904,0.47904481974191,0.08,0.847666272764583,0.595939786540659,0.88,0.754295,0.919
